P (bars),Gas_wt,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,,,
10586.82,7.18E-09,0.0103435,6.11E-06,2.22E-12,0.966445,0.0224656,3.65E-09,0.000633635,6.39E-05,4.26E-05,0,,,
10586.32,7.18E-09,0.0103444,6.11E-06,2.22E-12,0.966444,0.0224658,3.65E-09,0.000633658,6.39E-05,4.26E-05,0,,,
10585.82,7.18E-09,0.0103454,6.11E-06,2.22E-12,0.966442,0.0224659,3.65E-09,0.000633681,6.39E-05,4.26E-05,0,,,
10585.32,7.18E-09,0.0103464,6.11E-06,2.22E-12,0.966441,0.0224661,3.66E-09,0.000633704,6.40E-05,4.26E-05,0,,,
10584.82,7.18E-09,0.0103474,6.11E-06,2.22E-12,0.96644,0.0224662,3.66E-09,0.000633727,6.40E-05,4.26E-05,0,,,
10584.32,7.18E-09,0.0103483,6.11E-06,2.22E-12,0.966439,0.0224664,3.66E-09,0.00063375,6.40E-05,4.26E-05,0,,,
10583.82,7.18E-09,0.0103493,6.11E-06,2.22E-12,0.966438,0.0224665,3.66E-09,0.000633773,6.40E-05,4.26E-05,0,,,
10583.32,7.18E-09,0.0103503,6.11E-06,2.22E-12,0.966437,0.0224667,3.66E-09,0.000633796,6.40E-05,4.26E-05,0,,,
10582.82,7.18E-09,0.0103513,6.12E-06,2.22E-12,0.966435,0.0224668,3.66E-09,0.000633819,6.40E-05,4.26E-05,0,,,
10582.32,7.18E-09,0.0103523,6.12E-06,2.22E-12,0.966434,0.022467,3.66E-09,0.000633842,6.40E-05,4.26E-05,0,,,
10581.82,7.18E-09,0.0103532,6.12E-06,2.22E-12,0.966433,0.0224671,3.66E-09,0.000633865,6.40E-05,4.26E-05,0,,,
10581.32,7.18E-09,0.0103542,6.12E-06,2.22E-12,0.966432,0.0224673,3.66E-09,0.000633889,6.40E-05,4.26E-05,0,,,
10580.82,7.18E-09,0.0103552,6.12E-06,2.22E-12,0.966431,0.0224675,3.66E-09,0.000633912,6.40E-05,4.26E-05,0,,,
10580.32,7.18E-09,0.0103562,6.12E-06,2.22E-12,0.96643,0.0224676,3.66E-09,0.000633935,6.40E-05,4.26E-05,0,,,
10579.82,7.18E-09,0.0103572,6.12E-06,2.22E-12,0.966428,0.0224678,3.66E-09,0.000633958,6.41E-05,4.26E-05,0,,,
10579.32,7.18E-09,0.0103581,6.12E-06,2.22E-12,0.966427,0.0224679,3.66E-09,0.000633981,6.41E-05,4.26E-05,0,,,
10578.82,7.18E-09,0.0103591,6.12E-06,2.22E-12,0.966426,0.0224681,3.66E-09,0.000634004,6.41E-05,4.26E-05,0,,,
10578.32,7.18E-09,0.0103601,6.12E-06,2.22E-12,0.966425,0.0224682,3.66E-09,0.000634027,6.41E-05,4.26E-05,0,,,
10577.82,7.18E-09,0.0103611,6.12E-06,2.22E-12,0.966424,0.0224684,3.66E-09,0.00063405,6.41E-05,4.26E-05,0,,,
10577.32,7.18E-09,0.010362,6.12E-06,2.22E-12,0.966423,0.0224685,3.66E-09,0.000634073,6.41E-05,4.26E-05,0,,,
10576.82,7.18E-09,0.010363,6.13E-06,2.22E-12,0.966421,0.0224687,3.66E-09,0.000634096,6.41E-05,4.26E-05,0,,,
10576.32,7.18E-09,0.010364,6.13E-06,2.22E-12,0.96642,0.0224688,3.66E-09,0.000634119,6.41E-05,4.26E-05,0,,,
10575.82,7.18E-09,0.010365,6.13E-06,2.22E-12,0.966419,0.022469,3.66E-09,0.000634142,6.41E-05,4.26E-05,0,,,
10575.32,7.18E-09,0.010366,6.13E-06,2.22E-12,0.966418,0.0224692,3.67E-09,0.000634165,6.41E-05,4.26E-05,0,,,
10574.82,7.18E-09,0.0103669,6.13E-06,2.22E-12,0.966417,0.0224693,3.67E-09,0.000634188,6.41E-05,4.26E-05,0,,,
10574.32,7.18E-09,0.0103679,6.13E-06,2.22E-12,0.966416,0.0224695,3.67E-09,0.000634211,6.42E-05,4.26E-05,0,,,
10573.82,7.18E-09,0.0103689,6.13E-06,2.22E-12,0.966414,0.0224696,3.67E-09,0.000634234,6.42E-05,4.26E-05,0,,,
10573.32,7.18E-09,0.0103699,6.13E-06,2.22E-12,0.966413,0.0224698,3.67E-09,0.000634258,6.42E-05,4.26E-05,0,,,
10572.82,7.18E-09,0.0103709,6.13E-06,2.22E-12,0.966412,0.0224699,3.67E-09,0.000634281,6.42E-05,4.26E-05,0,,,
10572.32,7.18E-09,0.0103718,6.13E-06,2.22E-12,0.966411,0.0224701,3.67E-09,0.000634304,6.42E-05,4.26E-05,0,,,
10571.82,7.18E-09,0.0103728,6.13E-06,2.22E-12,0.96641,0.0224702,3.67E-09,0.000634327,6.42E-05,4.26E-05,0,,,
10571.32,7.18E-09,0.0103738,6.13E-06,2.22E-12,0.966409,0.0224704,3.67E-09,0.00063435,6.42E-05,4.26E-05,0,,,
10570.82,7.18E-09,0.0103748,6.14E-06,2.22E-12,0.966407,0.0224705,3.67E-09,0.000634373,6.42E-05,4.26E-05,0,,,
10570.32,7.18E-09,0.0103758,6.14E-06,2.22E-12,0.966406,0.0224707,3.67E-09,0.000634396,6.42E-05,4.26E-05,0,,,
10569.82,7.18E-09,0.0103767,6.14E-06,2.22E-12,0.966405,0.0224708,3.67E-09,0.000634419,6.42E-05,4.26E-05,0,,,
10569.32,7.18E-09,0.0103777,6.14E-06,2.22E-12,0.966404,0.022471,3.67E-09,0.000634442,6.42E-05,4.26E-05,0,,,
10568.82,7.18E-09,0.0103787,6.14E-06,2.22E-12,0.966403,0.0224712,3.67E-09,0.000634465,6.43E-05,4.26E-05,0,,,
10568.32,7.18E-09,0.0103797,6.14E-06,2.22E-12,0.966402,0.0224713,3.67E-09,0.000634488,6.43E-05,4.26E-05,0,,,
10567.82,7.18E-09,0.0103807,6.14E-06,2.22E-12,0.9664,0.0224715,3.67E-09,0.000634511,6.43E-05,4.26E-05,0,,,
10567.32,7.18E-09,0.0103817,6.14E-06,2.22E-12,0.966399,0.0224716,3.67E-09,0.000634535,6.43E-05,4.26E-05,0,,,
